true_aw	B	aw	as	a	delta_aw	delta_as	delta_a
0.1	0.2	0.035 [0.02-0.054]	0.184 [0.172-0.198]	0.219 [0.203-0.233]	0.002	0.013	0.01
0.1	0.4	0.189 [0.145-0.232]	0.11 [0.1-0.124]	0.281 [0.249-0.315]	0.017	0.031	0.031
0.1	0.8	0.122 [0.088-0.162]	0.283 [0.257-0.308]	0.393 [0.382-0.403]	0.045	0	0.033
0.1	0.999	0.161 [0.128-0.195]	0.283 [0.257-0.309]	0.432 [0.422-0.445]	0.077	0.022	0.043
0.2	0.2	0.065 [0.028-0.106]	0.14 [0.123-0.156]	0.196 [0.179-0.213]	0.01	0.024	0.004
0.2	0.4	0.124 [0.079-0.158]	0.184 [0.164-0.211]	0.293 [0.273-0.31]	0.014	0.03	0.027
0.2	0.8	0.203 [0.167-0.249]	0.193 [0.166-0.218]	0.381 [0.365-0.4]	0.046	0	0.031
0.2	0.999	0.189 [0.161-0.223]	0.231 [0.209-0.251]	0.406 [0.393-0.42]	0.015	0.024	0.025
0.3	0.2	0.089 [0.051-0.122]	0.105 [0.088-0.121]	0.18 [0.16-0.202]	0.028	0.044	0.003
0.3	0.4	0.24 [0.201-0.281]	0.111 [0.098-0.124]	0.331 [0.3-0.359]	0.068	0.033	0.081
0.3	0.8	0.262 [0.229-0.297]	0.143 [0.127-0.163]	0.388 [0.368-0.41]	0.02	0.044	0.046
0.3	0.999	0.272 [0.238-0.309]	0.151 [0.13-0.17]	0.406 [0.389-0.426]	0.015	0.044	0.043
