trueAlpha	asymp_nopos	asymp	analysis	time
0.22609950026618125	0.18984608439604161	0.13081185630612718	twoepochs_s3	1
0.22006057183922798	0.1896203020235416	0.13924204241647262	twoepochs_s1	1
0.23382579858654232	0.18273295424943173	0.12546228735232462	twoepochs_s4	1
0.2183049044170642	0.22102207217915773	0.16082193029822361	twoepochs_s2	1
0.21759725517641637	0.17600146073029255	0.12624331326337104	Equilibrium	1
0.23006074522134737	0.2129078299624537	0.14958109533871214	twoepochs_s3	2
0.22002248367359198	0.19219690813097923	0.1374520141489197	twoepochs_s1	2
0.24246398023671942	0.19455164460833016	0.0837700671560242	twoepochs_s4	2
0.2220350925432642	0.20021768737578102	0.14666393283232557	twoepochs_s2	2
0.21759725517641637	0.17600146073029255	0.12624331326337104	Equilibrium	2
0.2345312983396927	0.222948338986677	0.14926838619670404	twoepochs_s3	3
0.2212092088972008	0.20238082226058438	0.14396022495907537	twoepochs_s1	3
0.25450117568021496	0.20591729144251855	0.07060419170852583	twoepochs_s4	3
0.22295544177679374	0.22089486252220653	0.15298153259278913	twoepochs_s2	3
0.21759725517641637	0.17600146073029255	0.12624331326337104	Equilibrium	3
